Input Image,Class,Face with Explainability,flag,username,timestamp
C:\kandikits\deepfake-detection\deepfake-detection\flagged\Input Image\2be44991f54d040cf751f60fb307feadfbaf5d14\tmpw5msvqso.jpg,C:\kandikits\deepfake-detection\deepfake-detection\flagged\Class\tmpdjnukgz0.json,C:\kandikits\deepfake-detection\deepfake-detection\flagged\Face with Explainability\20994a6476a2de5be7e3826f779aeaf95b84e716\tmpalqrr6s_.png,,,2023-11-08 08:59:19.282961
C:\kandikits\deepfake-detection\deepfake-detection\flagged\Input Image\70d62952c6bf47d84bd4e50c9e167fdb742a56a8\tmpansahfdj.jpg,C:\kandikits\deepfake-detection\deepfake-detection\flagged\Class\tmpipq1yc9o.json,C:\kandikits\deepfake-detection\deepfake-detection\flagged\Face with Explainability\d727ba95d5fadbf571357c192b9ef75db2afe0b0\tmp2n9rhdck.png,,,2023-11-16 17:48:22.939001
